,PROPERTIES PAGE,property_name,area,address,sell_price,rent_price,bedrooms,living_rooms,years,efficiency_ratio
71,4,Ocean Shores,Tseung Kwan O ,Flat F| High Floor|  Block 07| Phase 2| Ocean Shores| Tseung Kwan O ,$14.00M,$27.000,,,17.0,74.0
72,5,Prince's Heights,Prince Edward Rd ,Flat D| Low Floor|  Block 1| Prince's Heights| Prince Edward Rd ,$17.50M,$27.000,3.0,2.0,47.0,74.0
73,5,Comfort Court,Kln Tong / Beacon Hill ,Flat B| Low Floor|  Comfort Court| Kln Tong / Beacon Hill ,$18.88M,$27.000,3.0,2.0,42.0,74.0
74,5,Mantin Heights,Homantin/Kingspark ,Flat E|  Block 5| Mantin Heights| Homantin/Kingspark ,$18.00M,$27.000,2.0,2.0,2.0,
75,5,Kadoorie Hill,Prince Edward Rd ,Flat A| Middle Floor|  Kadoorie Hill| Prince Edward Rd ,$53.50M,$27.000,4.0,2.0,6.0,76.0
76,5,Celestial Heights,Celestial Heights ,Flat 33| Low Floor|  Celestial Avenue 33| Phase 1| Celestial Heights| Celestial Heights ,$27.80M,$27.000,3.0,2.0,10.0,77.0
77,5,One Homantin,Homantin/Kingspark ,Flat E|  Tower 1| One Homantin| Homantin/Kingspark ,$13.50M,$27.000,2.0,2.0,2.0,
78,5,One Homantin,Homantin/Kingspark ,Flat F|  Tower 2| One Homantin| Homantin/Kingspark ,$12.00M,$27.000,1.0,2.0,2.0,
79,5,The Morgan,Western Mid-Levels ,Flat A|  The Morgan| Western Mid-Levels ,$98.00M,$168.000,3.0,2.0,2.0,
80,5,The Colonnades,Argyle Street ,Flat E| High Floor|  The Colonnades| Argyle Street ,$12.00M,$168.000,2.0,2.0,30.0,83.0
81,5,The Arch,Kowloon Station ,Flat A| Low Floor|  Tower 2A (Moon Tower)| The Arch| Kowloon Station ,$54.00M,$168.000,3.0,1.0,13.0,76.0
82,5,Mantin Heights,Homantin/Kingspark ,Flat E|  Block 1| Mantin Heights| Homantin/Kingspark ,$16.80M,$168.000,2.0,2.0,2.0,
83,5,Gar Fook Court,Kln Tong / Beacon Hill ,Flat F|  Gar Fook Court| Kln Tong / Beacon Hill ,$8.00M,$168.000,3.0,2.0,38.0,86.0
84,5,The Harbourside,Kowloon Station ,Flat E| Low Floor|  Block 2| The Harbourside| Kowloon Station ,$33.60M,$43.000,2.0,1.0,16.0,72.0
85,5,Mantin Heights,Homantin/Kingspark ,Flat B| Low Floor|  Block 1| Mantin Heights| Homantin/Kingspark ,$18.70M,$43.000,2.0,2.0,2.0,
86,5,Ming Garden,Prince Edward Rd ,Middle Floor|  Ming Garden| Prince Edward Rd ,$15.90M,$43.000,3.0,2.0,30.0,84.0
87,5,Yee On Court,Waterloo Road ,High Floor|  Block B| Yee On Court| Waterloo Road ,$12.00M,$43.000,3.0,2.0,42.0,85.0
88,5,The Victoria Towers,Tsim Sha Tsui ,Flat D| Middle Floor|  Block 2| The Victoria Towers| Tsim Sha Tsui ,$15.00M,$43.000,2.0,1.0,16.0,65.0
89,5,One Homantin,Homantin/Kingspark ,Flat G| Middle Floor|  Tower 3| One Homantin| Homantin/Kingspark ,$13.68M,$43.000,2.0,2.0,2.0,
90,6,Prince's Heights,Prince Edward Rd ,Flat D| Low Floor|  Block 1| Prince's Heights| Prince Edward Rd ,$17.50M,$43.000,3.0,2.0,47.0,74.0
91,6,Comfort Court,Kln Tong / Beacon Hill ,Flat B| Low Floor|  Comfort Court| Kln Tong / Beacon Hill ,$18.88M,$43.000,3.0,2.0,42.0,74.0
92,6,Mantin Heights,Homantin/Kingspark ,Flat E|  Block 5| Mantin Heights| Homantin/Kingspark ,$18.00M,$43.000,2.0,2.0,2.0,
93,6,Kadoorie Hill,Prince Edward Rd ,Flat A| Middle Floor|  Kadoorie Hill| Prince Edward Rd ,$53.50M,$43.000,4.0,2.0,6.0,76.0
94,6,Celestial Heights,Celestial Heights ,Flat 33| Low Floor|  Celestial Avenue 33| Phase 1| Celestial Heights| Celestial Heights ,$27.80M,$43.000,3.0,2.0,10.0,77.0
95,6,One Homantin,Homantin/Kingspark ,Flat E|  Tower 1| One Homantin| Homantin/Kingspark ,$13.50M,$43.000,2.0,2.0,2.0,
96,6,One Homantin,Homantin/Kingspark ,Flat F|  Tower 2| One Homantin| Homantin/Kingspark ,$12.00M,$43.000,1.0,2.0,2.0,
97,6,The Morgan,Western Mid-Levels ,Flat A|  The Morgan| Western Mid-Levels ,$98.00M,$168.000,3.0,2.0,2.0,
98,6,The Colonnades,Argyle Street ,Flat E| High Floor|  The Colonnades| Argyle Street ,$12.00M,$168.000,2.0,2.0,30.0,83.0
99,6,The Arch,Kowloon Station ,Flat A| Low Floor|  Tower 2A (Moon Tower)| The Arch| Kowloon Station ,$54.00M,$168.000,3.0,1.0,13.0,76.0
100,6,Mantin Heights,Homantin/Kingspark ,Flat E|  Block 1| Mantin Heights| Homantin/Kingspark ,$16.80M,$168.000,2.0,2.0,2.0,
101,6,Gar Fook Court,Kln Tong / Beacon Hill ,Flat F|  Gar Fook Court| Kln Tong / Beacon Hill ,$8.00M,$168.000,3.0,2.0,38.0,86.0
102,6,The Harbourside,Kowloon Station ,Flat E| Low Floor|  Block 2| The Harbourside| Kowloon Station ,$33.60M,$43.000,2.0,1.0,16.0,72.0
103,6,Mantin Heights,Homantin/Kingspark ,Flat B| Low Floor|  Block 1| Mantin Heights| Homantin/Kingspark ,$18.70M,$43.000,2.0,2.0,2.0,
104,6,Ming Garden,Prince Edward Rd ,Middle Floor|  Ming Garden| Prince Edward Rd ,$15.90M,$43.000,3.0,2.0,30.0,84.0
105,6,Yee On Court,Waterloo Road ,High Floor|  Block B| Yee On Court| Waterloo Road ,$12.00M,$43.000,3.0,2.0,42.0,85.0
106,6,The Victoria Towers,Tsim Sha Tsui ,Flat D| Middle Floor|  Block 2| The Victoria Towers| Tsim Sha Tsui ,$15.00M,$43.000,2.0,1.0,16.0,65.0
107,6,One Homantin,Homantin/Kingspark ,Flat G| Middle Floor|  Tower 3| One Homantin| Homantin/Kingspark ,$13.68M,$43.000,2.0,2.0,2.0,
108,7,Manhattan Court,Kln Tong / Beacon Hill ,High Floor|  Manhattan Court| Kln Tong / Beacon Hill ,$19.80M,$43.000,3.0,2.0,43.0,82.0
109,7,Meridian Hill,Kln Tong / Beacon Hill ,Flat D| High Floor|  Block 3| Meridian Hill| Kln Tong / Beacon Hill ,$33.00M,$43.000,3.0,2.0,8.0,77.0
110,7,Mount Beacon,Yau Yat Chuen/Shek Kip Mei ,Flat C| High Floor|  Block 3| Mount Beacon| Yau Yat Chuen/Shek Kip Mei ,$27.50M,$43.000,3.0,2.0,13.0,74.0
111,7,Mantin Heights,Homantin/Kingspark ,Flat F|  Block 2| Mantin Heights| Homantin/Kingspark ,$13.50M,$43.000,2.0,2.0,2.0,
112,7,Moonlight Mansion,Prince Edward Rd ,Low Floor|  Moonlight Mansion| Prince Edward Rd ,$16.50M,$43.000,3.0,2.0,44.0,82.0
113,7,Meridian Hill,Kln Tong / Beacon Hill ,Flat C| High Floor|  Block 3| Meridian Hill| Kln Tong / Beacon Hill ,$28.00M,$43.000,3.0,2.0,8.0,77.0
114,7,One West Kowloon,Cheung Sha Wan ,Flat A| High Floor|  Tower 2| One West Kowloon| Cheung Sha Wan ,$18.80M,$39.000,,,5.0,74.0
115,7,Vision Court,Prince Edward Rd ,Flat B| Middle Floor|  Vision Court| Prince Edward Rd ,$10.50M,$39.000,2.0,2.0,17.0,70.0
116,7,St. George Apartments,Waterloo Road ,Flat C| Middle Floor|  St. George Apartments| Waterloo Road ,$22.00M,$39.000,3.0,2.0,17.0,71.0
117,7,Celestial Heights,Celestial Heights ,Flat 16| High Floor|  Celestial Avenue 16| Phase 2| Celestial Heights| Celestial Heights ,$45.00M,$39.000,4.0,2.0,9.0,77.0
118,7,The Masterpiece,Tsim Sha Tsui ,Flat K| Low Floor|  The Masterpiece| Tsim Sha Tsui ,$22.80M,$44.000,1.0,1.0,10.0,73.0
119,7,Fook Hong Court,Kln Tong / Beacon Hill ,Flat C| Middle Floor|  Fook Hong Court| Kln Tong / Beacon Hill ,$8.00M,$44.000,2.0,1.0,44.0,
120,7,Boland Court,Kln Tong / Beacon Hill ,Flat C|  Phase 2| Boland Court| Kln Tong / Beacon Hill ,$9.80M,$44.000,3.0,2.0,43.0,86.0
121,7,Meridian Hill,Kln Tong / Beacon Hill ,Flat D|  Block 2| Meridian Hill| Kln Tong / Beacon Hill ,$41.50M,$44.000,4.0,2.0,8.0,76.0
122,7,Carmel On The Hill,Homantin/Kingspark ,Flat C| Middle Floor|  Carmel On The Hill| Homantin/Kingspark ,$9.50M,$44.000,2.0,2.0,15.0,73.0
123,7,Paxton,Prince Edward Rd ,Flat C|  Paxton| Prince Edward Rd ,$47.00M,$44.000,4.0,2.0,5.0,
124,7,Mantin Heights,Homantin/Kingspark ,Flat C|  Block 5| Mantin Heights| Homantin/Kingspark ,$14.00M,$44.000,2.0,2.0,2.0,
125,7,Ultima,Homantin/Kingspark ,High Floor|  Tower 2| Phase 2| Ultima| Homantin/Kingspark ,$138.00M,$44.000,4.0,2.0,3.0,
126,8,Sorrento,Kowloon Station ,Flat H| Low Floor|  Block 2| Phase 2| Sorrento| Kowloon Station ,$32.00M,$44.000,3.0,1.0,15.0,75.0
127,8,One Beacon Hill,Kln Tong / Beacon Hill ,Flat E| Middle Floor|  Block 06| Phase 2| One Beacon Hill| Kln Tong / Beacon Hill ,$31.00M,$44.000,3.0,2.0,15.0,74.0
128,8,Fessenden Court,Kln Tong / Beacon Hill ,Flat D|  Fessenden Court| Kln Tong / Beacon Hill ,$13.00M,$44.000,3.0,2.0,43.0,84.0
